"","control.1","control.2","control.3","E2.treat.1","E2.treat.2","E2.treat.3"
"PLXDC2",32.3472375011342,34.6050308113276,36.1139011846081,31.8988427181917,33.6775436284102,32.6279746111104
"PLXNA1",89.9108518402133,92.6661912939317,102.196847743896,105.235410382201,105.510177046653,110.703176106092
"PLXNA2",42.6473695701855,45.428152372611,52.1454523758742,47.3183261757527,48.1975861804504,51.7471528174287
"PLXNA3",52.8786044347615,51.3283825214044,58.2559793823953,59.5239926820704,54.9778703677466,60.6171977885567
"PLXNA4",9.02553378625896,9.15802593647059,10.7105866631157,8.64995413472936,10.5542159519234,10.4998765559289
"PLXNB1",6.57968302738726,6.87756888509649,7.27770632237349,7.65845741572876,6.65235429696992,7.7417000278043
"PLXNB2",226.155073690039,250.814077920177,257.94662880337,242.232905314457,260.017502088296,262.684971388777
"PLXNB3",2.75588817901037,2.89581847793537,3.36422273392737,2.56421565258776,2.33472049845579,2.97757693377088
"PLXNC1",3.99603785956504,4.48851864079982,4.4970732463723,5.26518947331352,4.22168638076937,4.82680892421807
"PLXND1",31.4515738429558,33.9534716537922,37.3154093038678,36.8563263131947,36.9077733591504,39.335358440868
"PM20D1",4.37497248417896,4.41612317885143,4.01646999866839,3.76084962379537,3.2302297307402,3.07160567904786
"PM20D2",92.9767774393624,88.9740227345641,90.6966986024092,93.5767765484358,88.879291304228,89.4213367584035
"PMAIP1",172.966431835138,168.609030877787,156.3333707174,148.314233345676,151.405025201229,146.434099311343
"PMEL",1.89467312306963,2.20806158942572,2.19704341807501,1.70947710172517,2.11084319038469,2.09997531118578
"PMEPA1",7.81983270794193,7.09475527094164,9.26877692000397,10.5987580306961,10.7780932599945,11.5968785841603
"PMF1",21.7026194097067,18.3884473348896,19.3271163183786,20.3427775105295,19.7331855828387,18.7117203101181
"PMFBP1",1.44684129398044,1.59270016286445,1.88808418740822,1.40177122341464,1.31128137584503,2.16266114137043
"PML",35.5509575092338,35.0756013139921,35.3586675096448,34.1211629504344,36.3640713252635,35.6055515448813
"PMM1",29.4535549131733,28.9581847793537,30.3809910155686,29.0611107293279,26.9612243862771,26.704163658661
"PMM2",50.6394452893156,49.8804732824367,47.0304606681683,52.8570319853423,51.2039386031195,49.7725491666123
"PMP22",35.2409200890951,35.0756013139921,36.6974908425342,35.249417837573,35.5964919833054,32.4085742054641
"PMPCA",63.6610169351395,61.7533290419717,59.4574875016551,63.5583586421418,60.2869608162899,59.3634811848637
"PMPCB",139.034558631073,139.759439291356,128.664355171018,139.39076287467,136.373263087883,127.565664425763
"PMS1",46.0922297939484,43.9802431336434,41.6065097297956,42.7369275431293,41.5452318834804,46.9830297233953
"PMS2",23.0461148969742,23.1665478234829,22.0734205909724,21.2317056034266,21.8120463006418,21.7206401589813
"PMS2CL",3.23816861033718,3.47498217352244,3.08959230666799,3.86341824989888,3.83789670979034,3.94920730163296
"PMS2P1",8.12987012808059,8.68745543380609,8.20458401437388,7.65845741572876,8.15553050830447,7.7417000278043
"PMS2P3",1.99801892978252,1.88228201065799,2.30002982829728,2.22232023224272,1.66308857424248,2.25668988664741
"PMS2P4",1.24014968055467,1.52030470091607,1.61345376014884,1.0256862610351,0.863526759702826,1.0029732829544
"PMVK",45.7821923738098,48.4687617744432,42.8423466524628,47.2841366337182,46.1507079352288,44.8830544122095
"PNCK",2.72143957677274,2.42524797527087,3.02093469985314,2.83773198886378,2.49463286136372,3.00891984886321
"PNISR",97.5239929347295,91.5078639027575,93.5803180886327,107.389351530375,81.7152174459527,101.268958663302
"PNKD",37.1700418144024,36.559708283934,36.1825587914229,36.4118622667461,36.3960537978451,34.4458636864653
"PNKP",50.7427910960284,54.5499805781074,50.017066564614,54.0878554985844,50.3404118434166,54.1605572795378
"PNMA1",135.58969840731,135.850084346143,131.17035781976,132.621233551839,135.573701273344,130.731298850088
