"GeneName","rank"
"TANC2",-4.17931379009528
"USP24",-4.1789925168413
"DLG5",-4.16984859072941
"PRPF8",-4.16811918969207
"ACIN1",-4.16691469673726
"PABPC1",-4.1568900928655
"RBM33",-4.15561268011285
"RREB1",-4.15407771875695
"TRAF3",-4.14955305764683
"RAI14",-4.14674320865561
"NANOS1",-4.14639376926702
"ARHGEF11",-4.13732808159496
"CELSR3",-4.13459593181166
"AHNAK",-4.13018690009709
"ABL2",-4.10768338451882
"PARM1",-4.10439885500593
"AHNAK2",-4.10222917498753
"BAZ2A",-4.09692179160551
"CHERP",-4.058024814468
"DNMT1",-4.05783486875433
"RRBP1",-4.05559425698587
"CHD4",-4.05187072730877
"HOXD9",-4.05084235933597
"FBXL19",-4.04357123180146
"TRIO",-4.04349495043039
"MYO9A",-4.04295285997294
"SMARCA4",-4.04231069780591
"LAMA4",-4.03289263586761
"MAGI1",-4.03263488441461
"SLC22A5",-4.03144129941397
"FAM193A",-4.03055241967034
"UHRF1",-4.02783085761716
"OLFM1",-4.01746487861308
"YLPM1",-4.01663090624513
"BCL2",-4.00329674869935
"GBF1",-3.99550061940697
"NCKAP5L",-3.98895528036054
"SOCS1",-3.98774538488697
"TEAD1",-3.9817086759939
"DAAM1",-3.97685994426711
"RNF213",-3.97267646792424
"ZC3H4",-3.96700729990237
"RAD54L2",-3.96613770021789
"UBN2",-3.95664004186699
"NR2F6",-3.95274939589039
"FBXL7",-3.94958100145716
"CSK",-3.93173131585499
"EIF3A",-3.92610006842775
"PERP",-3.92193276746836
"ALMS1",-3.92031921769259
"SLC6A8",-3.91285756924356
"LPP",-3.90889916425971
"BIRC6",-3.90430353079701
"SYT12",-3.9028664109693
"IGF2BP1",-3.89396969943821
"SETD1A",-3.89114215261284
"KIAA0226L",-3.87875721884626
"AAK1",-3.87054556444533
"PTPN14",-3.86914366940987
"FAT1",-3.85444660311905
"MECP2",-3.84683505558778
"FMN1",-3.84427866517273
"AKAP9",-3.84373272172952
"SND1",-3.84164872428822
"CENPF",-3.83278556757538
"ASAP1",-3.82919844384641
"SH2D3C",-3.82852799335909
"PRR12",-3.82844009447748
"ITPR2",-3.82327147239522
"CDK12",-3.81428572095705
"CRAMP1",-3.80712604559527
"ZCCHC2",-3.80695174219842
"MIR600HG",-3.80643225612182
"MED13L",-3.80420810066184
"AFF3",-3.7994777419664
"MKI67",-3.78266159709339
"POMK",-3.76949289531926
"ARRB1",-3.7691025598138
"ZYX",-3.76547395472551
"SPTBN2",-3.75704104899132
"FLNA",-3.75564394669612
"ALDH1A3",-3.75403383181734
"FOXN4",-3.75340131783857
"SEC16A",-3.75177396148411
"RAVER1",-3.75167451200483
"TPR",-3.74643516950321
"ZNF592",-3.74479446773549
"C14orf132",-3.74077851890621
"CDK5RAP2",-3.73926040175408
"ARFGEF3",-3.73667775453379
"KIF1B",-3.72615949619404
"CDC42EP2",-3.7250432179164
"ACACA",-3.7245935624079
"ALPL",-3.71917412570647
"ARL4C",-3.71473793091362
"ANK2",-3.70486751412391
"TTC28",-3.70370281088677
"BOD1L1",-3.6995719274087
"SEC24D",-3.69819929668772
"PTPRU",-3.69472477366745
"PAPD7",-3.68967509819146
"NF2",-3.68885697264628
"SNX27",-3.68830017021011
"WNK2",-3.67824347538431
"PAPSS2",-3.64863228526924
"BAZ1A",-3.64689901745153
"SF3A1",-3.64049409920156
"YIF1B",-3.63850778783277
"CEP164",-3.63174588620621
"COBL",-3.62443488213449
"SETD2",-3.61501078899247
"FKBP4",-3.61275084181736
"ZNF703",-3.60989475069553
"ZBTB4",-3.60485876698004
"TRIM8",-3.60243537192306
"ADGRL1",-3.59733586787617
"GPR153",-3.59131826863189
"RGS10",-3.58090692125066
"RASAL2",-3.58087369832606
"MICALL1",-3.57941404021424
"SMG1",-3.57891379196877
"NRG2",-3.57013165699326
"HERC5",-3.56378577436698
"PPARA",-3.56073186926453
"UNC5B",-3.55521372804076
"C17orf51",-3.5509842190044
"NUP214",-3.54878658954284
"KAT6B",-3.54403979556532
"MTOR",-3.53488274502954
"SPATS2L",-3.5344654428664
"NCS1",-3.53238058371183
"LUZP1",-3.52909073478539
"EEPD1",-3.52834619113536
"NFIA",-3.5238296275951
"UNC13B",-3.51675203332229
"HACD1",-3.51250808212272
"RAPGEF1",-3.51160623471859
"BCR",-3.50874495284205
"PITPNC1",-3.50066719013276
"CCDC6",-3.49448812722983
"MYH9",-3.49032486717883
"BRD4",-3.48912600189603
"POLR1A",-3.48642781108112
"GLTSCR1",-3.47911004867232
"NAT8L",-3.47730943826467
"ABCA2",-3.47727974817697
"ZNF598",-3.47557501459878
"EPPK1",-3.46628245255175
"PRKXP1",-3.46248566706666
"TBC1D16",-3.46203569542946
"BCAT1",-3.45616547090653
"USP7",-3.45359840009603
"GIGYF2",-3.44545991453133
"HIC2",-3.44534355235673
"PUS1",-3.44528611688205
"MKL2",-3.44186913840529
"PKDCC",-3.44041248121744
"IGSF10",-3.43322626022587
"RIMS4",-3.43127379313053
"WIZ",-3.43081718935318
"ANKRD17",-3.42638630645816
"PDK3",-3.42427149662088
"SOCS7",-3.42387655046707
"KMT2B",-3.42001754552933
"ARHGEF12",-3.41070819393948
"ZBTB7A",-3.40987526825923
"TRIM9",-3.40450130570762
"ZNF629",-3.40397978999761
"SACS",-3.39301301565516
"KHSRP",-3.39185828776154
"CCDC85C",-3.38989077225179
"SZT2",-3.37664158413798
"LRRC8C",-3.36701947810683
"STC2",-3.36637634566616
"ZBTB40",-3.35556936186452
"TAF4",-3.35503491204517
"CHST15",-3.35242802461258
"HNRNPU",-3.33495150035286
"STAT5B",-3.33289263553543
"NMRK2",-3.33201167695735
"LFNG",-3.32659363163344
"MLLT1",-3.3253240232579
"HNRNPUL1",-3.31507042669038
"FMN2",-3.31465209376321
"NAB2",-3.3082613768168
"CHDH",-3.30637374457363
"XIST",-3.30624890057697
"SIK3",-3.2984877879615
"ZCCHC14",-3.29830367110742
"TACC1",-3.29463999381265
"LBH",-3.29447027001242
"CAV1",-3.29157616319252
"ZMIZ2",-3.29136348147028
"PIM1",-3.28030643399601
"SLC36A1",-3.27543208259141
"ZNF462",-3.27424232007913
"ABLIM1",-3.26771545059188
"DAB2IP",-3.26645198289336
"ZNF37A",-3.26424459062169
"GREB1L",-3.26053924154861
"SH2B3",-3.2550374486715
"HMCN1",-3.25002859165896
"ECI1",-3.22732670050714
"PRR14L",-3.22572148879884
"MYBBP1A",-3.22422957390308
"MGA",-3.22161541055926
"NPRL3",-3.21802231702992
"POLR3H",-3.21483828299541
"ZFP36L2",-3.21198385680263
"IDH3A",-3.21039289810741
"SPTAN1",-3.20465965565198
"DENND4B",-3.20004736353034
"GTPBP1",-3.1971616431135
"SH3RF3",-3.19590917941394
"MEF2A",-3.1901103804441
"SMAD7",-3.18910182510393
"CNOT1",-3.18724435925916
"TAOK3",-3.18596186185659
"PHF3",-3.18557370635534
"BAG3",-3.18092225488816
"HEG1",-3.17740719251022
"FYCO1",-3.1676337120804
"DIP2B",-3.16586446393875
"STOX2",-3.16050079295085
"LINC01000",-3.15875439185536
"LMNB2",-3.15461186676582
"LOXL4",-3.15415903767398
"PLBD2",-3.13794721625894
"BSN",-3.13167039443341
"CDV3",-3.13138914562584
"RPS6KA2",-3.12882959896091
"PIP5K1C",-3.1120766787627
"PKD1",-3.1095996611273
"MICAL2",-3.1060625131043
